symbol	chromosome	entrez_gene_id
(FM-3)	2	10316
(IV)-44	14	28337
(ppGpp)ase	15	374659
0610011B16Rik	16	79585
0610037N12Rik	7	10248
0710008D09Rik	19	10975
0808y08y	1	100130557
1-12P	14	28471
1-14P	14	28470
1-17P	14	28469
1-67P	14	28463
1-68P	14	28462
1-8D	11	10581
1-8U	11	10410
1-AGPAT 6	8	137964
1-AGPAT1	6	10554
1-AGPAT2	9	10555
1-AGPAT4	6	56895
1-Cys	1	9588
1/2-SBSRNA4	4	100533182
10-FTHFDH	3	10840
10-fTHF	3	10840
101F10.1	16	400506
101F6	3	11068
104p	13	10426
105A	1	26768
105B	20	26767
10C	12	64333
11-DH	1	3290
11-DH3	19	374875
11-beta-HSD1	1	3290
11-beta-HSD3	19	374875
1110001C14Rik	11	57104
1110008L20Rik	13	221154
1110019O13Rik	12	25875
1110035O14Rik	7	10135
1110046B12Rik	16	197258
115HG	15	104472715
1190004M21Rik	1	90780
11B6	X	10916
12-HETER	6	2853
1200006M05Rik	1	55827
123F2	3	11186
12CC4	3	27086
12R-LOX	17	242
12S-LOX	17	239
133K02	5	10827
13CDNA73	13	10129
13K18	2	28912
14-3-3	2	10971
14-3-3-zeta	8	7534
14-3-3E	17	7531
14-3-3GAMMA	7	7532
14.1	22	3543
14q(0)	14	692215
14q(I-1)	14	767561
14q(I-2)	14	767562
14q(I-3)	14	767563
14q(I-4)	14	767564
14q(I-5)	14	767565
14q(I-6)	14	767566
14q(I-7)	14	767567
14q(I-8)	14	767568
14q(I-9)	14	767569
14q(II)	14	692217
14q(II-1)	14	767577
14q(II-10)	14	767588
14q(II-11)	14	767589
14q(II-12)	14	767590
14q(II-13)	14	767591
14q(II-14)	14	767592
14q(II-15)	14	767593
14q(II-16)	14	767594
14q(II-17)	14	767595
14q(II-18)	14	767596
14q(II-19)	14	767597
14q(II-2)	14	767578
14q(II-20)	14	767598
14q(II-21)	14	767599
14q(II-22)	14	767600
14q(II-23)	14	767603
14q(II-24)	14	767604
14q(II-25)	14	767605
14q(II-26)	14	767606
14q(II-27)	14	767608
14q(II-28)	14	767609
14q(II-29)	14	767610
14q(II-3)	14	767579
14q(II-30)	14	767611
14q(II-31)	14	767612
14q(II-4)	14	767580
14q(II-5)	14	767581
14q(II-6)	14	767582
14q(II-7)	14	767583
14q(II-8)	14	767584
14q(II-9)	14	767585
15-LOX	17	246
15-LOX-1	17	246
15-LOX-2	17	247
15-PGDH	4	3248
15.5K	22	4809
150-225	9	3371
1500003D12Rik	4	80306
156DAG	3	1605
15E1.2	12	283459
16.1	22	91353
16.2	22	3544
16.3A5	11	966
160-KD	1	10250
1600019D15Rik	4	55161
16A	X	537
16E1BP	5	9319
16G2	3	26998
17-BETA-HSD11	4	51170
17-BETA-HSDXI	4	51170
17-beta-HSD	17	3292
1700027G07Rik	6	9457
1700028P05Rik	7	23288
1700062D20Rik	X	340547
170A	6	6499
17BHSD11	4	51170
17b-HSD10	X	3028
17orf28	17	283987
1810012E07Rik	15	23478
1810061I13Rik	12	51266
182-FIP	17	57532
183ActI	19	100132285
18A2	1	6275
19A	1	57823
1A	X	2664
1A1	5	51151
1A1-3B	17	4077
1A6/DRIM	12	27340
1AGPAT5	8	55326
1AGPAT8	2	253558
1C5	2	10971
1C7	6	259197
1C9-2	22	56993
1D	1	25802
1F5	11	966
1G5	3	79012
1R20	1	5996
2'-PDE	3	201626
2-10P	14	28456
2-21	21	54097
2-5-3p	17	23265
2-ALPHA-HSD	10	1645
2-COP	7	26958
2-HPCL	3	26061
2-MEBCAD	10	36
2-PDE	3	201626
2.19	X	60343
20-ALPHA-HSD	10	1645
20-alpha-HSD	17	3292
2010001O09Rik	1	115209
2010002K04Rik	2	84759
2010204O13Rik	17	54902
209L8	19	10994
20D7-FC4	19	23403
20MER1	19	107198088
20MER2	19	107198089
21-GARP	21	6450
214K23.2	13	10129
21orf5	21	9980
2210413P10Rik	11	23584
2310020H20Rik	12	23479
2310047C21Rik	16	81533
2310061C15Rik	16	56942
239AB	22	758
239FB	11	744
2410002I16Rik	18	30827
2410004I17Rik	8	157570
2410091M23Rik	3	55211
24b2	17	342667
24b2/STAC2	17	342667
24p3	9	3934
24p3R	14	51310
2510004L01Rik	2	91543
2510025F08Rik	17	79003
2610017G09Rik	15	83440
2610020J05Rik	11	83480
2610028I09Rik	X	158787
2610510D13Rik	2	220988
26RFa	9	347148
2700063A19Rik	10	23555
2700066J21Rik	13	9724
27K	2	11017
2810028N01Rik	13	22894
2810403B08Rik	3	79598
2810435D12Rik	9	81932
28H	7	3152
2900010K02Rik	3	90407
2A-DUB	1	114803
2A9	1	6277
2ADUB	1	114803
2B28	11	51035
2B4	1	51744
2BP1	16	54715
2C18	4	55435
2C4D	2	25843
2DD	19	27294
2E4	19	11133
2F1	12	10219
2F1	X	292
2G7	11	101927624
2H9	10	3189
2HOR0202	13	10284
2OST	6	10090
2P1	3	25915
2PP2A	9	6418
3'-Tab1	22	10454
3'HEXO	8	90459
3'HS1	11	105180392
3'OY11.1	22	129025
3'aHIF-1A	14	100750247
3-02.1P	14	28355
3-05.1P	14	28354
3-05.2P	14	28353
3-06P	14	28453
3-11.1P	14	28352
3-13.1P	14	28351
3-16.1P	14	28350
3-19P	14	28446
3-22.2P	14	28349
3-22P	14	28443
3-25.1P	14	28348
3-25P	14	28441
3-26.1P	14	28347
3-29P	14	28440
3-30.2P	14	28438
3-32P	14	28435
3-33.2P	14	28433
3-36P	14	28431
3-37P	14	28430
3-38.1P	14	28346
3-41P	14	28428
3-42P	14	28427
3-44P	14	28345
3-47.1P	14	28344
3-47P	14	28425
3-50P	14	28422
3-51.1P	14	28343
3-52P	14	28421
3-54P	14	28419
3-57P	14	28418
3-60P	14	28417
3-62P	14	28416
3-65P	14	28413
3-67.2P	14	28342
3-67.3P	14	28341
3-67.4P	14	28340
3-71P	14	28411
3-75P	14	28407
3-76.1P	14	28339
3-76P	14	28406
3-79P	14	28405
3-82P	14	28338
3-Gn-T1	2	10678
3-Gn-T2	2	10678
3-Gn-T8	17	146712
3-HAO	2	23498
3-OST-3A	17	9955
3-OST-3B	17	9953
3-OST-4	16	9951
3-OST-5	6	222537
3-OST-6	16	64711
3-PAP	5	54545
3-PGDH	1	26227
3-alpha-HSD	10	1109
3-alpha-HSD	2	10170
3.8-1	6	352961
3.8-1.2	6	353007
3.8-1.3	6	353008
3.8-1.4	6	353009
3.8-1.5	6	353010
300-KD	16	23524
30ST2	16	9956
30ST4	16	9951
3110004H13Rik	17	51003
3110013H01Rik	17	201161
3110052N05Rik	18	84064
354J5	6	442240
35DAG	13	6445
35DAG	5	6444
363E6.2	16	51573
37LRP	3	3921
38-1	14	28346
39.1	17	3872
39K2	8	27067
39K3	8	27067
3ALPHA-HSD	2	10170
3BETAHSD	1	3283
3BP-2	4	6452
3BP2	4	6452
3D3	8	92140
3DL2	19	3812
3G2	3	10180
3H11Ag	12	80184
3M1	6	9820
3M3	19	83987
3MC1	3	5648
3MC2	2	78989
3MC3	8	10584
3OST	4	9957
3OST1	4	9957
3OST2	16	9956
3OST3A1	17	9955
3OST3B1	17	9953
3OST4	16	9951
3OST5	6	222537
3PGDH	1	26227
3PK	3	7867
3o5bred	7	6718
4-01.1P	14	28377
4-15.1P	14	28376
4-1BB	1	3604
4-1BB-L	19	8744
4-1BBLRR	14	122769
4-20.1P	14	28375
4-22.1P	14	28374
4-26.2P	14	28373
4-28.1P	14	28372
4-30.1P	14	28371
4-31.1P	14	28370
4-33.1P	14	28369
4-40.1P	14	28368
4-43.1P	14	28367
4-44.1P	14	28337
4-44.2P	14	28366
4-46.1P	14	28365
4-49.1P	14	28364
4-51.2P	14	28363
4-53.1P	14	28362
4-55P	14	28393
4-60.1P	14	28361
4-62.1P	14	28360
4-65.1P	14	28359
4-67.1P	14	28358
4-74.1P	14	28357
4-78.1P	14	28356
4-80P	14	28390
4-HPPD	12	3242
4-HPPD-L	1	84842
4.1-G	6	2037
4.1B	18	23136
4.1G	6	2037
4.1N	20	2036
4.1O	9	257019
4.1R	1	2035
40K	1	9410
42A	1	6275
42C	1	6281
447AA	1	1307
44M2.4	16	123879
4732463G12Rik	17	201292
4930465P12Rik	2	79781
4930573H17Rik	12	8089
4930578C19Rik	X	79742
4933414E04Rik	10	221078
4933421L13Rik	13	253832
4933425L19Rik	2	84083
4933433C09Rik	12	115811
4E-BP1	8	1978
4E-BP3	5	8637
4E-LP	2	9470
4E-T	22	56478
4EBP1	8	1978
4EBP2	10	1979
4EBP3	5	8637
4EHP	2	9470
4F-se4[6:7:8]	21	54055
4F2	11	6520
4F2HC	11	6520
4F2LC	16	8140
4F5	5	8293
4F5REL	15	10169
4F9	11	3732
4HPPD	12	3242
4Ig-B7-H3	15	80381
4P11	21	9946
4SPAN1	11	51338
4SPAN2	11	58475
4SPAN3	11	64231
4SPAN3.2	11	64231
4SPAN4	11	83661
4T2HC	11	6520
5'-NT	3	55
5'OY11.1	22	140883
5'URS	11	107080646
5'aHIF-1A	14	100750246
5'aHIF1alpha	14	100750246
5-78P	14	28387
5-HT(2B)	2	3357
5-HT-1A	5	3350
5-HT-1B	6	3351
5-HT-1D-beta	6	3351
5-HT-1F	3	3355
5-HT-2B	2	3357
5-HT-3	11	3359
5-HT1A	5	3350
5-HT1B	6	3351
5-HT1C	X	3358
5-HT1D	1	3352
5-HT1DB	6	3351
5-HT1E	6	3354
5-HT1F	3	3355
5-HT2A	13	3356
5-HT2B	2	3357
5-HT2C	X	3358
5-HT3-E	3	285242
5-HT3A	11	3359
5-HT3B	11	9177
5-HT3C2	3	389180
5-HT3E	3	285242
5-HT3R	11	3359
5-HT3c1	3	285242
5-HT4	5	3360
5-HT4R	5	3360
5-HT5A	7	3361
5-HT5B	2	645694
5-HT6	1	3362
5-HT6R	1	3362
5-HT7	10	3363
5-HTR2C	X	3358
5-HTT	17	6532
5-HTTLPR	17	6532
5-LO	10	240
5-LOX	10	240
5-Opase	8	26873
50DAG	17	6442
53BP1	15	7158
53BP2	1	7159
54TM	11	10897
551G9.2	16	2935
5630401D24Rik	1	51603
5730408C10Rik	17	26001
5730547N13Rik	15	11339
5830420C16Rik	18	30827
59-DAP	8	6641
5A3	20	116151
5B10	1	6277
5DI	1	1733
5DII	14	1734
5DIII	14	1735
5F7	19	682
5HT1a	5	3350
5HT3D	3	200909
5HT3R	11	3359
5HT6	3	3355
5HTR2C	X	3358
5HTT	17	6532
5HTT-VNTR2	17	110806307
5HTTVNTR	17	110806307
5LPG	10	240
5PTASE	10	3632
5PTase	1	3633
5T4	6	7162
5T4AG	6	7162
5c5-2	17	6182
5qNCA	5	51780
6-16	1	2537
6.3	X	55558
6.8PL	14	9556
6030440G05Rik	3	23150
60H	6	3153
6330408P19Rik	1	9722
6330578E17Rik	2	493753
6430402L03Rik	X	340526
64kD	1	25802
6530402N02Rik	1	51107
6530404F10Rik	2	130535
65K	2	10713
67LR	3	3921
6A1	14	29986
6A3-5	6	57492
6C6-AG	X	10134
6Ckine	9	6366
6M1-1	6	442184
6M1-16	6	26716
6M1-18	6	26531
6M1-21	6	81696
6M1-3	6	442186
6M1-4P	6	442185
6M1-7P	6	442189
6PGD	1	5226
6PGL	19	25796
6S2650E	6	10866
7-27P	14	28383
7-34.1P	14	28382
7-40P	14	28381
7-56P	14	28380
71-7A	X	8481
71-7A2	Y	10751
71-7A3	5	23738
71-7A5	5	23738
721P	X	8227
721P	X|Y	8227
721P	Y	8227
753P9	X	54440
76P	15	27229
7A5	7	346389
7B2	15	6447
7B4	16	1003
7L1C	14	378706
7L1a	14	6029
7L23	7	6033
7L28	3	6030
7L30.1	14	378706
7L30.2	14	378707
7L63	7	6034
7L7	22	6032
7LEM1	9	6031
7M1-2	7	26211
7SK	6	125050
7SL	14	6029
7SL1c	14	378706
7TMR	12	11318
7h3	19	85360
80K-L	6	4082
82-FIP	17	57532
8430410J10Rik	4	80216
8B	6	23345
8D6	19	51293
8D6A	19	51293
8HS20	22	29802
9-27	11	8519
90K	17	3959
9130403P13Rik	12	54682
921-L	5	10814
92M18.3	13	10443
9830169G11Rik	4	255520
99D8.1	12	10576
9F	X	9130
9G8	2	6432
9G8	5	10569
9cRDH	12	5959
A-116A10.1	16	8883
A-152E5.1	16	6367
A-152E5.3	16	6361
A-2	12	27239
A-259H10.2	16	3250
A-270G1.2	16	54700
A-328A3.2	16	3835
A-388D4.1	16	92017
A-575C2.4	16	440350
A-761H5.2	16	390688
A-761H5.4	16	440348
A-761H5.5	16	440350
A-923A4.1	16	123876
A-BETA	13	8803
A-C1	3	57110
A-FABP	8	2167
A-GAMMA3'E	11	109951028
A-LAP	5	51752
A-MYB	8	4603
A-RAF	X	369
A-SCID	10	64421
A-SCS	13	8803
A-gamma-e	11	109951028
A1	2	28881
A1	3	5984
A1	4	5981
A1-5	2	7549
A10	2	28870
A11	2	28874
A11	X	8248
A11a	2	28874
A12	2	28887
A121	17	10209
A13	2	28888
A14	2	28869
A14GALT	22	53947
A15	2	28934
A15	X	7102
A15a	2	28934
A16	2	28910
A16a	2	28910
A17	2	28919
A170	5	8878
A18	2	28920
A18b	2	28920
A19	2	28921
A190	2	25885
A1A	14	5265
A1AT	14	5265
A1B	19	1
A1B	8	6641
A1BG	19	1
A1BG-AS	19	503538
A1BG-AS1	19	503538
A1BGAS	19	503538
A1CF	10	29974
A1M	9	259
A1S9	X	7317
A1S9T	X	7317
A1ST	X	7317
A1U	1	56893
A1Up	1	56893
A2	11	170589
A2	12	23545
A20	2	28935
A20	6	7128
A21	2	28922
A211C6.1	16	57149
A22	2	28911
A23	2	28923
A24	2	28924
A25	2	28936
A26	2	28906
A26A1	8	340441
A26B1	15	100996331
A26B2	18	388468
A26B3	21	317754
A26C1	2	445582
A26C1A	2	445582
A26C1B	2	728378
A26C2	14	404785
A26C3	22	23784
A27	2	28912
A28	2	28925
A28-RGS14	1	6004
A28-RGS14P	1	6004
A29	2	28926
A2AP	17	5345
A2BP1	16	54715
A2D	16	11273
A2HS	3	197
A2LD1	13	87769
A2LG	16	11273
A2LP	16	11273
A2M	12	2
A2M-AS1	12	144571
A2MD	12	2
A2ML1	12	144568
A2ML1-AS1	12	100874108
A2ML1-AS2	12	106478979
A2MP	12	3
A2MP1	12	3
A2MR	12	4035
A2MRAP	4	4043
A2RAP	4	4043
A2RP	16	11273
A2a	2	28882
A2aR	22	135
A2c	2	28882
A3	2	28883
A30	2	28937
A33	1	10223
A3A	22	200315
A3AR	1	140
A3B	22	9582
A3C	22	27350
A3D	22	140564
A3F	22	200316
A3G	22	60489
A3GALT1	9	28
A3GALT2	1	127550
A3GALT2P	1	127550
A3H	22	164668
A3a	3	1605
A3b	4	6443
A4	13	6445
A4	2	28898
A4	7	50617
A4	X	5355
A4GALT	22	53947
A4GALT1	22	53947
A4GNT	3	51146
A4LSB	X	5355
A4a	2	28898
A5	2	28884
A530083I02Rik	2	65065
A6	12	5756
A6	2	28873
A6RP	3	11344
A6ps1	17	619519
A6ps2	X	494555
A6r	3	11344
A7	2	28885
A7322	6	57221
A8	2	28886
A8-51	7	7551
A9	2	28899
A930014I12Rik	18	114799
AA	11	7003
AA02	17	100506677
AA04	17	100506677
AA05	17	100506677
AA06	17	100506677
AA1	18	100034700
AA2	16	100034703
AAA	12	8086
AAA	19	100329167
AAA	21	351
AAA-TOB3	1	83858
AAA1	19	100329167
AAA1	7	404744
AAA2	4	100505390
AAA3	9	100188857
AAA4	12	100859927
AAAL3045	6	389383
AAAS	12	8086
AAASb	12	8086
AAAT	1	6512
AAAT	19	6510
AABT	21	8212
AAC-11	11	8539
AAC1	4	291
AAC1	8	9
AAC11	11	8539
AAC2	8	10
AAC2	X	292
AAC3	X	293
AAC3	X|Y	293
AAC3	Y	293
AAC4	4	83447
AACP	8	11
AACS	12	65985
AACSL	5	729522
AACSP1	5	729522
AACT	14	12
AAD10	12	8085
AAD20	2	2744
AADAC	3	13
AADACL1	3	57552
AADACL2	3	344752
AADACL2-AS1	3	101928142
AADACL3	1	126767
AADACL4	1	343066
AADACP1	3	201651
AADAT	4	51166
AADC	7	1644
AAED1	9	195827
AAF-132	17	80169
AAF-44	10	79991
AAF132	17	80169
AAF44	10	79991
AAG	16	4350
AAG1	11	1982
AAG11	2	2274
AAG12	X	4354
AAG13	1	140576
AAG2	22	6767
AAG3	2	6432
AAG4	8	1191
AAG6	17	5578
AAGAB	15	79719
AAH	8	444
AAK1	2	22848
AAKG	7	51422
AAKG2	7	51422
AAM-B	12	25840
AAMDC	11	28971
AAMP	2	14
AAMR	2	29926
AANAT	17	15
AAOPD	1	170534
AAP	17	5345
AAP-S	17	9520
AAP1	3	23429
AAPA3037	3	285362
AAR2	20	25980
AARD	8	441376
AARE	3	327
AARF	7	90956
AARS	16	16
AARS2	6	57505
AARSD1	17	80755
AARSL	6	57505
AARSP1	4	106480683
AAS	X	2245
AASD-PPT	11	60496
AASDH	4	132949
AASDHPPT	11	60496
AASL548	1	56063
AASS	7	10157
AASTH1	4	544317
AASTH10	5	544603
AASTH11	6	544584
AASTH12	9	544579
AASTH13	17	544583
AASTH14	13	544567
AASTH15	13	544597
AASTH16	13	544596
AASTH17	5	544573
AASTH18	14	544595
AASTH19	5	544589
AASTH2	5	544446
AASTH20	12	544565
AASTH21	11	544569
AASTH22	6	544602
AASTH23	8	544580
AASTH24	19	544600
AASTH25	20	544570
