old_entrez_gene_id	new_entrez_gene_id	date
8	7003	20061122
42	51596	20060616
44	1261	20050509
45	54714	20050510
57	7291	20050510
61	643309	20110117
76	648740	20120525
77	100462767	20110111
96	79839	20090312
99	348	20050510
110	196883	20050510
121	120	20050510
149	146	20050504
168	55630	20050510
180	375790	20050510
184	57486	20050504
193	6567	20051116
194	57491	20050510
195	79026	20050510
198	778	20080314
200	10117	20060527
209	412	20050510
227	391538	20050510
232	401982	20070710
234	729347	20071010
235	390402	20070718
244	728113	20140409
252	57679	20050508
254	23064	20050509
256	55806	20050510
260	7169	20050502
264	4882	20060513
294	222005	20090226
296	266623	20090226
298	442525	20090226
299	644042	20090226
300	442255	20090226
315	1280	20060513
365	364	20050510
370	644000	20090421
376	378	20070330
385	388	20050510
386	389	20050510
404	83872	20060514
422	7043	20060531
423	6262	20060513
426	3106	20060531
428	129880	20050502
437	5309	20140803
441	389652	20071213
446	442167	20091023
448	158452	20091003
452	339845	20090325
456	340274	20090116
457	392302	20050805
458	341230	20090322
464	85300	20050510
497	522	20050510
500	442416	20100218
502	498	20050510
503	442416	20100218
505	645443	20081004
510	665	20050510
511	509	20050510
512	645560	20050510
519	10476	20050510
530	729435	20080816
531	343515	20100218
532	100462844	20110117
536	50617	20050502
548	3184	20050510
557	54840	20050509
559	28982	20110202
562	7080	20050510
564	646282	20080716
565	401393	20080716
569	6872	20050507
584	84100	20050504
589	3827	20050504
609	348980	20050510
612	27032	20050502
614	400892	20101116
615	644165	20101116
621	4920	20050217
626	9759	20140218
630	84295	20060531
679	23397	20050510
681	10555	20050508
691	652963	20070920
692	132556	20070921
702	1028	20050510
703	5002	20050510
704	5003	20050510
707	5728	20050510
723	727859	20070714
736	8577	20050502
737	64776	20050503
739	738	20090314
743	9024	20050509
748	29800	20050510
749	10328	20081118
751	10328	20050510
756	754	20050510
769	56934	20050503
787	10216	20050217
791	4854	20050510
792	302	20050510
803	100128390	20090430
809	802	20090307
812	1069	20050502
870	147381	20050510
872	871	20050510
876	84733	20050502
877	2201	20050503
879	1415	20050217
880	2651	20070522
888	200575	20050502
893	595	20050504
903	4171	20050510
906	6261	20050504
934	100133941	20080722
964	27087	20050804
979	146059	20050502
980	10483	20100210
985	728642	20070612
986	728642	20050506
992	1778	20050510
1035	578	20050510
1037	10682	20050217
1042	6584	20050503
1064	429	20060606
1067	1066	20050510
1076	391039	20080919
1077	100131874	20081019
1078	645980	20081019
1079	1947	20050505
1100	23230	20050510
1110	590	20141008
1115	6023	20050510
1126	2228	20050510
1127	2229	20050510
1148	338917	20050504
1150	3561	20110211
1162	2074	20050510
1165	23203	20170725
1166	492	20140131
1168	160	20050510
1169	161	20050510
1170	163	20050510
1171	162	20050510
1172	164	20050510
1177	1917	20100604
1189	5243	20050509
1190	1811	20050510
1194	9124	20050510
1199	3912	20060131
1202	80331	20120202
1205	54982	20050508
1206	256471	20070426
1210	6197	20060513
1214	8218	20050510
1216	6687	20050510
1217	4000	20060212
1219	11155	20140619
1220	7139	20060602
1221	6331	20060222
1222	1674	20170725
1223	1674	20050502
1224	7137	20140208
1225	56172	20060531
1226	4625	20050508
1227	7139	20060602
1228	7168	20060602
1229	3577	20050508
1231	729230	20090327
1239	1524	20050510
1242	2852	20050510
1248	5376	20060515
1249	23095	20050510
1250	7879	20060602
1251	54332	20060515
1252	8898	20050510
1256	11081	20050217
1273	358	20050502
1274	6103	20050503
1276	157680	20050510
1304	1303	20050504
1309	80781	20050510
1320	1406	20050509
1322	3000	20060512
1323	3000	20050506
1324	22999	20051025
1328	122867	20100410
1334	100288440	20110310
1341	140603	20050805
1344	100462850	20110116
1354	1353	20050502
1372	340451	20050510
1377	50945	20060602
